Year,Scenario,DomesticAbsorptionFactor,Country,EuropeanOffshoreSupply_TWh,GrossExport_TWh,GrossImport_TWh,NetExport_TWh,SupplierCarbonContribution_Mt
2030,Low absorption,0.75,BE,2.67055653560153,0,15.4470614390486,-15.4470614390486,0.52257503551434
2030,Low absorption,0.75,DK,32.6020439793486,29.5407301296668,0,29.5407301296668,6.66410900730094
2030,Low absorption,0.75,FR,0,0,31.4500763689967,-31.4500763689967,0
2030,Low absorption,0.75,DE,0,0,61.6819460620097,-61.6819460620097,0
2030,Low absorption,0.75,IE,18.3903671887444,16.5447657153471,0,16.5447657153471,3.83150041430607
2030,Low absorption,0.75,NL,73.669906046398,49.1786761024119,0.538770056013933,48.639906046398,14.8685726588847
2030,Low absorption,0.75,NO,0,0,5.23,-5.23,0
2030,Low absorption,0.75,PT,0,0,6.11,-6.11,0
2030,Low absorption,0.75,ES,0,0,28.1477426541451,-28.1477426541451,0
2030,Low absorption,0.75,SE,0,0,7.86,-7.86,0
2030,Low absorption,0.75,GB,86.0214246327881,61.2014246327881,0,61.2014246327881,17.4782916389944
2030,Low absorption,0.75,ITN,0,0,0,0,0
2040,Low absorption,0.75,BE,0,0,50.8021433089352,-50.8021433089352,0
2040,Low absorption,0.75,DK,30.0612592554604,22.3445143133181,0,22.3445143133181,6.4895394310885
2040,Low absorption,0.75,FR,0,0,88.5737604971915,-88.5737604971915,0
2040,Low absorption,0.75,DE,0,0,185.414909061648,-185.414909061648,0
2040,Low absorption,0.75,IE,92.7232046982594,86.2249532606688,0,86.2249532606688,17.8427607456124
2040,Low absorption,0.75,NL,176.527562372456,106.447562372457,0,106.447562372457,38.6086095379935
2040,Low absorption,0.75,NO,59.537525174741,46.0012792560327,0,46.0012792560327,11.8930390590669
2040,Low absorption,0.75,PT,0,0,17.32,-17.32,0
2040,Low absorption,0.75,ES,0,0,79.9355402568782,-79.9355402568782,0
2040,Low absorption,0.75,SE,0,0,20.65,-20.65,0
2040,Low absorption,0.75,GB,251.131018653929,178.051018653929,0,178.051018653929,53.6011608813275
2040,Low absorption,0.75,ITN,3.62702526824736,3.62702526824736,0,3.62702526824736,1.34363857344546
2050,Low absorption,0.75,BE,0,0,64.402312653769,-64.402312653769,0
2050,Low absorption,0.75,DK,139.624224835661,127.36881703848,0,127.36881703848,30.0680251613419
2050,Low absorption,0.75,FR,0,0,118.347351563272,-118.347351563272,0
2050,Low absorption,0.75,DE,0,0,247.25283246354,-247.25283246354,0
2050,Low absorption,0.75,IE,151.278209306562,142.125482512551,0,142.125482512551,29.1961855374851
2050,Low absorption,0.75,NL,173.14388065632,70.7238806563199,0,70.7238806563199,37.4678141503277
2050,Low absorption,0.75,NO,0,0,17.2255220709065,-17.2255220709065,0
2050,Low absorption,0.75,PT,0,0,23.93,-23.93,0
2050,Low absorption,0.75,ES,0,0,107.760041227038,-107.760041227038,0
2050,Low absorption,0.75,SE,37.7480789297243,11.2880789297243,0,11.2880789297243,8.32200353884975
2050,Low absorption,0.75,GB,328.291800841451,227.411800841451,0,227.411800841451,70.5443973013642
2050,Low absorption,0.75,ITN,0,0,0,0,0
2030,Base absorption,1,BE,0,0,18.1637952543624,-18.1637952543624,0
