Year,Country,PowerSystemUse_TWh,GasSystemUse_TWh,AvailableExport_TWh,ResidualCurtailment_TWh
2030,BE,25.268355,0.000000,0.000000,2.129338
2030,DK,10.305082,0.000000,30.025773,4.045508
2030,FR,75.286672,0.000000,0.000000,3.462130
2030,DE,135.042826,0.000000,0.000000,10.008597
2030,IE,9.967422,0.000000,15.898512,2.594561
2030,NL,36.924360,0.000000,64.438816,10.167540
2030,NO,13.863798,0.000000,0.000000,0.390215
2030,PT,1.117135,0.000000,0.000000,0.007592
2030,ES,11.018103,0.000000,0.000000,0.130681
2030,SE,24.209093,0.000000,0.000000,1.067423
2030,GB,95.621381,0.000000,176.305431,27.276440
2040,BE,35.388208,1.643105,0.000000,0.758609
2040,DK,22.766494,0.452600,24.256486,1.831491
2040,FR,84.746803,1.953253,0.000000,0.798612
2040,DE,183.460384,6.597929,0.000000,3.343585
2040,IE,22.020518,0.499691,87.093153,4.228615
2040,NL,81.575111,5.541147,154.748498,9.330549
2040,NO,101.995578,1.615104,33.634855,5.294596
2040,PT,3.672832,0.060913,0.000000,0.015345
2040,ES,36.065805,0.833835,0.000000,0.262971
2040,SE,81.867665,0.168279,0.000000,2.219111
2040,GB,211.251455,12.626154,195.161617,16.165506
2050,BE,30.151591,7.244169,0.000000,0.394161
2050,DK,32.781652,3.647374,130.516969,5.628754
2050,FR,154.444973,18.777272,0.000000,1.775092
2050,DE,282.526149,50.432125,0.000000,5.495047
2050,IE,31.707515,2.276947,169.753945,6.869248
2050,NL,117.460638,40.484434,133.657613,9.831682
2050,NO,146.864228,13.283521,69.670579,7.748559
2050,PT,4.615653,0.242877,0.000000,0.015288
2050,ES,57.152883,5.591536,0.000000,0.432020
2050,SE,165.185173,1.940163,0.000000,5.597526
2050,GB,304.182617,90.624410,263.021022,22.179343
