ClaimLocation,Metric,Year,Scenario,Value,Unit,SourceFile,SourceColumnOrVariable,CodePath,Notes
Abstract,UK net export,2050,Integrated model,162.141,TWh yr^-1,results/tables/NC_story_comparison.csv,UKNetExport_TWh,scripts/analysis/runLCOHOnlyCounterfactual.m,Rounded to approximately 162
Abstract,Ireland net export,2050,Integrated model,161.861,TWh yr^-1,results/tables/NC_story_comparison.csv,IrelandNetExport_TWh,scripts/analysis/runLCOHOnlyCounterfactual.m,Rounded to approximately 162
Abstract and Results,total carbon mitigation,2050,Integrated model,175.500,Mt CO2 yr^-1,results/tables/NC_story_comparison.csv,TotalCarbonReduction_Mt,scripts/analysis/runLCOHOnlyCounterfactual.m,Total includes European offshore suppliers and external import node
Abstract and Results,European offshore carbon contribution,2050,Integrated model,158.301,Mt CO2 yr^-1,results/tables/NC_story_comparison.csv,EuropeanOffshoreCarbonContribution_Mt,scripts/analysis/runLCOHOnlyCounterfactual.m,Excludes external import node
Results,total carbon mitigation,2030,Integrated model,43.457,Mt CO2 yr^-1,results/tables/NC_story_comparison.csv,TotalCarbonReduction_Mt,scripts/analysis/runLCOHOnlyCounterfactual.m,Used in carbon mitigation paragraph
Results,total carbon mitigation,2040,Integrated model,129.774,Mt CO2 yr^-1,results/tables/NC_story_comparison.csv,TotalCarbonReduction_Mt,scripts/analysis/runLCOHOnlyCounterfactual.m,Total includes external import node
Results,European offshore carbon contribution,2030,Integrated model,43.457,Mt CO2 yr^-1,results/tables/NC_story_comparison.csv,EuropeanOffshoreCarbonContribution_Mt,scripts/analysis/runLCOHOnlyCounterfactual.m,No external import contribution in base 2030
Results,European offshore carbon contribution,2040,Integrated model,103.189,Mt CO2 yr^-1,results/tables/NC_story_comparison.csv,EuropeanOffshoreCarbonContribution_Mt,scripts/analysis/runLCOHOnlyCounterfactual.m,Excludes external import node
Results,external import,2040,Integrated model,116.208,TWh yr^-1,results/tables/NC_story_comparison.csv,InternationalImport_TWh,scripts/analysis/runLCOHOnlyCounterfactual.m,Residual external import in base case
Results,external import,2050,Integrated model,62.227,TWh yr^-1,results/tables/NC_story_comparison.csv,InternationalImport_TWh,scripts/analysis/runLCOHOnlyCounterfactual.m,Residual external import in base case
Results,outside-option offshore supply,2050,Outside option 2 EUR/kg-H2,0.000,TWh yr^-1,results/tables/NC_outside_option_sensitivity.csv,EuropeanOffshoreSupply_TWh,scripts/analysis/runOutsideOptionSensitivity.m,Supports displacement at ultra-low outside price
Results,outside-option offshore supply,2050,Outside option 3 EUR/kg-H2,98.158,TWh yr^-1,results/tables/NC_outside_option_sensitivity.csv,EuropeanOffshoreSupply_TWh,scripts/analysis/runOutsideOptionSensitivity.m,Supports limited European offshore supply at 3 EUR/kg
Results,outside-option offshore supply,2050,Outside option 4 EUR/kg-H2,766.620,TWh yr^-1,results/tables/NC_outside_option_sensitivity.csv,EuropeanOffshoreSupply_TWh,scripts/analysis/runOutsideOptionSensitivity.m,Supports restored UK Ireland export pattern
SI,domestic absorption sensitivity UK net export,2050,Low absorption,227.412,TWh yr^-1,results/tables/NC_domestic_absorption_sensitivity.csv,UKNetExport_TWh,scripts/analysis/runDomesticAbsorptionSensitivity.m,UK remains top exporter under low absorption
SI,domestic absorption sensitivity Ireland net export,2050,High absorption,154.774,TWh yr^-1,results/tables/NC_domestic_absorption_sensitivity.csv,IrelandNetExport_TWh,scripts/analysis/runDomesticAbsorptionSensitivity.m,Ireland becomes top exporter under high absorption
