Year,Country,AverageLCOH_EURperMWh,AverageRank,MarginalLCOH_EURperMWh,MarginalRank,LowPriceHydrogenCapacity_GW,LowPriceHydrogenCapacityLabel
2030,BE,74.01,4,75.21,3,0,0
2030,DK,70.14,1,71.72,1,1.50,1.50
2030,FR,75.76,6,77.60,6,0,0
2030,DE,73.47,2,75.12,2,0,0
2030,IE,73.96,3,76.10,5,0,0
2030,NL,74.36,5,75.63,4,0,0
2030,NO,87.09,9,87.09,9,0,0
2030,PT,94.26,11,94.26,11,0,0
2030,ES,93.32,10,93.87,10,0,0
2030,SE,76.62,8,78.48,7,0,0
2030,GB,76.37,7,79.02,8,2.65,2.65
2040,BE,61.27,3,62.57,3,14.76,14.76
2040,DK,57.91,1,59.14,1,100,>100
2040,FR,62.45,5,63.97,5,79.58,79.58
2040,DE,60.90,2,62.44,2,100,>100
2040,IE,64.30,7,67.40,8,28.50,28.50
2040,NL,62.05,4,63.24,4,100,>100
2040,NO,73.12,9,74.21,9,0,0
2040,PT,81.75,11,85.95,11,0,0
2040,ES,78.14,10,80.00,10,0,0
2040,SE,64.90,8,66.71,7,62.43,62.43
2040,GB,63.66,6,65.79,6,100,>100
2050,BE,48.08,2,49.10,2,14.91,14.91
2050,DK,46.71,1,47.76,1,100,>100
2050,FR,49.95,5,51.52,5,100,>100
2050,DE,48.56,3,50.09,4,100,>100
2050,IE,52.02,8,54.42,8,100,>100
2050,NL,48.87,4,49.94,3,100,>100
2050,NO,57.84,9,59.20,9,100,>100
2050,PT,64.14,11,67.44,11,0.75,0.75
2050,ES,62.14,10,64.33,10,52.74,52.74
2050,SE,51.92,7,53.24,7,100,>100
2050,GB,50.73,6,52.51,6,100,>100
