Year,Scenario,ImportCost_EURperMWh,ImportCost_EURperKgH2,SolverProblemCode,EuropeanOffshoreSupply_TWh,InternationalImport_TWh,TotalCarbonReduction_Mt,EuropeanOffshoreCarbonContribution_Mt,TotalCost_BnEUR,ImportCost_BnEUR,TopGrossExporter,TopGrossExport_TWh,TopNetExporter,TopNetExport_TWh,IrelandNetExport_TWh,UKNetExport_TWh,IrelandCarbonContribution_Mt,UKCarbonContribution_Mt
2030,Outside option 2 EUR/kg-H2,60.0006000060001,2,0,0,210.39,43.0138238363171,0,12.6327063179564,12.6235262352624,BE,0,IE,-1.36,-1.36,-24.82,0,0
2040,Outside option 2 EUR/kg-H2,60.0006000060001,2,0,0,604.9,128.622298925831,0,36.3035430263235,36.2943629436294,BE,0,IE,-3.89,-3.89,-73.08,0,0
2050,Outside option 2 EUR/kg-H2,60.0006000060001,2,0,0,818.39,174.327287109974,0,49.1130711216044,49.1038910389104,BE,0,IE,-5.33,-5.33,-100.88,0,0
2030,Outside option 2.1 EUR/kg-H2,63.0006300063001,2.1,0,0,210.39,43.0138238363171,0,13.2638826297195,13.2547025470255,BE,0,IE,-1.36,-1.36,-24.82,0,0
2040,Outside option 2.1 EUR/kg-H2,63.0006300063001,2.1,0,0,604.9,128.622298925831,0,38.118261173505,38.1090810908109,BE,0,IE,-3.89,-3.89,-73.08,0,0
2050,Outside option 2.1 EUR/kg-H2,63.0006300063001,2.1,0,0,818.39,174.327287109974,0,51.56826567355,51.5590855908559,BE,0,IE,-5.33,-5.33,-100.88,0,0
2030,Outside option 2.2 EUR/kg-H2,66.0006600066001,2.2,0,0,210.39,43.0138238363171,0,13.8950589414826,13.8858788587886,BE,0,IE,-1.36,-1.36,-24.82,0,0
2040,Outside option 2.2 EUR/kg-H2,66.0006600066001,2.2,0,0,604.9,128.622298925831,0,39.9329793206864,39.9237992379924,BE,0,IE,-3.89,-3.89,-73.08,0,0
2050,Outside option 2.2 EUR/kg-H2,66.0006600066001,2.2,0,0,818.39,174.327287109974,0,54.0234602254955,54.0142801428014,BE,0,IE,-5.33,-5.33,-100.88,0,0
2030,Outside option 2.3 EUR/kg-H2,69.0006900069001,2.3,0,0,210.39,43.0138238363171,0,14.5262352532457,14.5170551705517,BE,0,IE,-1.36,-1.36,-24.82,0,0
2040,Outside option 2.3 EUR/kg-H2,69.0006900069001,2.3,0,0,604.9,128.622298925831,0,41.7476974678679,41.7385173851738,BE,0,IE,-3.89,-3.89,-73.08,0,0
2050,Outside option 2.3 EUR/kg-H2,69.0006900069001,2.3,0,0,818.39,174.327287109974,0,56.478654777441,56.4694746947469,BE,0,IE,-5.33,-5.33,-100.88,0,0
2030,Outside option 2.4 EUR/kg-H2,72.0007200072001,2.4,0,0,210.39,43.0138238363171,0,15.1574115650089,15.1482314823148,BE,0,IE,-1.36,-1.36,-24.82,0,0
2040,Outside option 2.4 EUR/kg-H2,72.0007200072001,2.4,0,0,604.9,128.622298925831,0,43.5624156150494,43.5532355323553,BE,0,IE,-3.89,-3.89,-73.08,0,0
2050,Outside option 2.4 EUR/kg-H2,72.0007200072001,2.4,0,0,818.39,174.327287109974,0,58.9338493293865,58.9246692466925,BE,0,IE,-5.33,-5.33,-100.88,0,0
2030,Outside option 2.5 EUR/kg-H2,75.0007500075001,2.5,0,0,210.39,43.0138238363171,0,15.788587876772,15.7794077940779,BE,0,IE,-1.36,-1.36,-24.82,0,0
2040,Outside option 2.5 EUR/kg-H2,75.0007500075001,2.5,0,0,604.9,128.622298925831,0,45.3771337622308,45.3679536795368,BE,0,IE,-3.89,-3.89,-73.08,0,0
2050,Outside option 2.5 EUR/kg-H2,75.0007500075001,2.5,0,0,818.39,174.327287109974,0,61.3890438813321,61.379863798638,BE,0,IE,-5.33,-5.33,-100.88,0,0
2030,Outside option 2.6 EUR/kg-H2,78.0007800078001,2.6,0,0,210.39,43.0138238363171,0,16.4197641885351,16.4105841058411,BE,0,IE,-1.36,-1.36,-24.82,0,0
