Published DateTime,Notes,Auction ID,Auction Lot ID,Buy Sell,Volume Required,Qualified IC,Start Time,End Time,Bid Deadline,Default Price,Clearing Price,Best Price,VWA Price,Cleared Volume,Total Bid Volume,IFA1 Volume,BN Volume,NEMO Volume,IFA2 Volume,EL Volume,VKL Volume
2023-01-01T03:51:21,,2023_01_01-03_06,2023_01_01-03_06-1,Sell,3700,BN/NEMO,2023-01-01T07:00:00,2023-01-01T08:00:00,2023-01-01T03:35:00,8.53,-95.35,-26.61,-56.61,3247,4450,,1811,1436,,,
2023-01-01T03:51:21,,2023_01_01-03_06,2023_01_01-03_06-2,Sell,2900,BN/NEMO,2023-01-01T08:00:00,2023-01-01T09:00:00,2023-01-01T03:35:00,36.79,-84,-21.73,-48.12,2900,4168,,1464,1436,,,
2023-01-01T03:51:21,,2023_01_01-03_06,2023_01_01-03_06-3,Sell,1800,BN/NEMO,2023-01-01T09:00:00,2023-01-01T10:00:00,2023-01-01T03:35:00,97.06,-34.33,-13.3,-27.7,1800,5648,,862,938,,,
2023-01-02T21:45:13,,2023_01_02-21_06,2023_01_02-21_06-1,Sell,1200,BN/NEMO/IFA1/IFA2,2023-01-02T23:00:00,2023-01-03T00:00:00,2023-01-02T21:35:00,185,84,92.75,87.88,1200,4398,417,405,180,198,,
2023-01-02T21:45:13,,2023_01_02-21_06,2023_01_02-21_06-2,Sell,1200,BN/NEMO/IFA1/IFA2,2023-01-03T00:00:00,2023-01-03T01:00:00,2023-01-02T21:35:00,170,84,92.75,88.54,1200,4015,350,366,251,233,,
2023-01-02T21:45:13,,2023_01_02-21_06,2023_01_02-21_06-3,Sell,1500,BN/NEMO/IFA1/IFA2,2023-01-03T01:00:00,2023-01-03T02:00:00,2023-01-02T21:35:00,165,82.51,90.93,87.36,1500,4011,441,431,281,347,,
2023-01-02T21:45:13,,2023_01_02-21_06,2023_01_02-21_06-4,Sell,1800,BN/NEMO/IFA1/IFA2,2023-01-03T02:00:00,2023-01-03T03:00:00,2023-01-02T21:35:00,115,82.53,91.89,87.21,1800,4391,558,481,361,400,,
2023-01-02T21:45:13,,2023_01_02-21_06,2023_01_02-21_06-5,Sell,1300,BN/NEMO/IFA1/IFA2,2023-01-03T03:00:00,2023-01-03T04:00:00,2023-01-02T21:35:00,100,81.36,90.03,85.85,1300,3931,408,331,361,200,,
2023-01-02T21:45:13,,2023_01_02-21_06,2023_01_02-21_06-6,Sell,1200,BN/NEMO/IFA1/IFA2,2023-01-03T04:00:00,2023-01-03T05:00:00,2023-01-02T21:35:00,110,90.29,96.57,93.21,1200,3150,200,464,281,255,,
2023-01-02T21:45:13,,2023_01_02-21_06,2023_01_02-21_06-7,Sell,200,BN/NEMO/IFA1/IFA2/EL,2023-01-03T05:00:00,2023-01-03T06:00:00,2023-01-02T21:35:00,130,109.24,113.26,111.33,200,1862,,,100,100,,
2023-01-03T17:35:15,,2023_01_03-16_12,2023_01_03-16_12-1,Sell,400,IFA1/IFA2/BN/NEMO,2023-01-03T20:00:00,2023-01-03T21:00:00,2023-01-03T17:15:00,119.67,105.56,108.13,106.86,400,4005,,298,102,,,
2023-01-03T17:35:15,,2023_01_03-16_12,2023_01_03-16_12-2,Sell,1950,IFA1/IFA2/BN/NEMO,2023-01-03T21:00:00,2023-01-03T22:00:00,2023-01-03T17:15:00,93.79,79,91.82,84.29,1950,5040,426,433,693,398,,
