Published DateTime,Notes,Auction ID,Auction Lot ID,Buy Sell,Volume Required,Qualified IC,Start Time,End Time,Bid Deadline,Default Price,Clearing Price,Best Price,VWA Price,Cleared Volume,Total Bid Volume,IFA1 Volume,BN Volume,NEMO Volume,IFA2 Volume,EL Volume,VKL Volume,Year,Date
2023-01-01 03:51:21,,2023_01_01-03_06,2023_01_01-03_06-1,Sell,3700,BN/NEMO,2023-01-01T07:00:00,2023-01-01T08:00:00,2023-01-01T03:35:00,8.53,-95.35,-26.61,-56.61,3247.0,4450.0,,1811.0,1436.0,,,,2023,2023-01-01
2023-01-02 21:45:13,,2023_01_02-21_06,2023_01_02-21_06-1,Sell,1200,BN/NEMO/IFA1/IFA2,2023-01-02T23:00:00,2023-01-03T00:00:00,2023-01-02T21:35:00,185.0,84.0,92.75,87.88,1200.0,4398.0,417.0,405.0,180.0,198.0,,,2023,2023-01-02
2023-01-03 17:35:15,,2023_01_03-16_12,2023_01_03-16_12-1,Sell,400,IFA1/IFA2/BN/NEMO,2023-01-03T20:00:00,2023-01-03T21:00:00,2023-01-03T17:15:00,119.67,105.56,108.13,106.86,400.0,4005.0,,298.0,102.0,,,,2023,2023-01-03
2023-01-04 20:32:14,,2023_01_04-19_21,2023_01_04-19_21-1,Sell,1850,IFA1/BN/NEMO/IFA2,2023-01-04T23:00:00,2023-01-05T00:00:00,2023-01-04T20:15:00,82.15,-2.33,37.7,13.51,1850.0,8303.0,,91.0,667.0,1092.0,,,2023,2023-01-04
2023-01-05 14:00:14,,2023_01_05-13_20,2023_01_05-13_20-1,Buy,500,IFA2/NEMO/BN,2023-01-05T16:00:00,2023-01-05T17:00:00,2023-01-05T13:50:00,125.0,165.11,121.02,145.81,500.0,2719.0,,,352.0,148.0,,,2023,2023-01-05
2023-01-06 00:12:02,,2023_01_05-23_25,2023_01_05-23_25-1,Sell,700,BN/NEMO/IFA2/EL,2023-01-06T05:00:00,2023-01-06T06:00:00,2023-01-06T00:00:00,100.0,79.75,83.1,81.12,700.0,3371.0,,161.0,239.0,53.0,247.0,,2023,2023-01-06
2023-01-07 00:24:57,,2023_01_06-23_55,2023_01_06-23_55-1,Sell,500,IFA2/BN/NEMO/EL,2023-01-07T07:00:00,2023-01-07T08:00:00,2023-01-07T00:20:00,90.0,24.06,40.14,32.89,500.0,3851.0,,,6.0,344.0,150.0,,2023,2023-01-07
2023-01-08 09:34:28,,2023_01_08-08_57,2023_01_08-08_57-1,Sell,500,IFA1/IFA2/BN/NEMO,2023-01-08T11:00:00,2023-01-08T12:00:00,2023-01-08T09:25:00,100.0,79.34,82.87,81.78,500.0,5331.0,300.0,,200.0,,,,2023,2023-01-08
2023-01-09 00:57:59,,2023_01_09-00_20,2023_01_09-00_20-1,Sell,500,IFA1/IFA2/BN/NEMO/EL,2023-01-09T05:00:00,2023-01-09T06:00:00,2023-01-09T00:45:00,110.0,42.0,47.62,45.3,500.0,5006.0,200.0,150.0,,150.0,,,2023,2023-01-09
2023-01-10 09:48:23,,2023_01_10-08_56,2023_01_10-08_56-1,Buy,300,NEMO/IFA2/EL,2023-01-10T15:00:00,2023-01-10T16:00:00,2023-01-10T09:30:00,105.0,151.0,133.26,143.16,300.0,1742.0,,,49.0,127.0,124.0,,2023,2023-01-10
2023-01-11 20:10:31,,2023_01_11-19_14,2023_01_11-19_14-1,Sell,1100,BN/IFA1/IFA2/NEMO,2023-01-11T22:00:00,2023-01-11T23:00:00,2023-01-11T20:00:00,100.0,34.0,40.15,36.45,1100.0,6064.0,761.0,52.0,25.0,262.0,,,2023,2023-01-11
2023-01-12 14:17:23,,2023_01_12-13_29,2023_01_12-13_29-1,Sell,1000,IFA1/BN/NEMO/IFA2/EL,2023-01-12T21:00:00,2023-01-12T22:00:00,2023-01-12T14:00:00,90.0,51.61,58.0,53.21,1000.0,9013.0,400.0,,100.0,,500.0,,2023,2023-01-12
2023-01-13 00:58:18,,2023_01_13-00_15,2023_01_13-00_15-1,Sell,4100,IFA1/IFA2/BN/NEMO/EL,2023-01-13T06:00:00,2023-01-13T07:00:00,2023-01-13T00:40:00,100.0,44.91,64.59,53.13,4100.0,9803.0,975.0,1104.0,1169.0,450.0,402.0,,2023,2023-01-13
2023-01-14 14:10:16,,2023_01_14-13_21,2023_01_14-13_21-1,Sell,300,IFA1/IFA2/EL/BN/NEMO,2023-01-14T19:00:00,2023-01-14T20:00:00,2023-01-14T13:55:00,150.0,46.92,55.14,49.65,300.0,4050.0,100.0,200.0,,,,,2023,2023-01-14
2023-01-15 08:47:16,"Due to French electricity system conditions, NGESO is unable to trade on the interconnectors joining GB and France. For more information, see this link to French margin graph: https://www.services-rte.com/en/view-data-published-by-rte/balancing-capacities.html#:~:text=RTE%20proposes%20on%20this%20web,best%20hypothesis%20at%20our%20disposal",2023_01_15-08_13,2023_01_15-08_13-1,Sell,500,IFA1/IFA2/BN/NEMO,2023-01-15T11:00:00,2023-01-15T12:00:00,2023-01-15T08:40:00,150.0,17.18,19.53,17.95,500.0,5322.0,400.0,100.0,,,,,2023,2023-01-15
2023-01-16 21:49:45,,2023_01_16-20_47,2023_01_16-20_47-1,Buy,1000,IFA1/IFA2/BN/NEMO/EL,2023-01-17T07:00:00,2023-01-17T08:00:00,2023-01-16T21:20:00,160.0,249.83,205.0,236.47,1000.0,6943.0,179.0,175.0,147.0,301.0,198.0,,2023,2023-01-16
2023-01-17 15:44:30,,2023_01_17-14_55,2023_01_17-14_55-1,Buy,320,IFA1/IFA2/NEMO/EL,2023-01-17T19:00:00,2023-01-17T20:00:00,2023-01-17T15:30:00,140.0,180.12,176.69,178.42,320.0,5560.0,220.0,,,,100.0,,2023,2023-01-17
2023-01-18 00:08:34,,2023_01_17-23_07,2023_01_17-23_07-1,Buy,600,IFA1/BN/NEMO/EL,2023-01-18T07:00:00,2023-01-18T08:00:00,2023-01-17T23:35:00,135.0,188.21,179.86,182.98,600.0,5447.0,,600.0,,,,,2023,2023-01-18
2023-01-19 10:51:25,,2023_01_19-09_52,2023_01_19-09_52-1,Buy,150,NEMO,2023-01-19T13:00:00,2023-01-19T14:00:00,2023-01-19T10:20:00,120.0,313.2,220.78,277.32,150.0,171.0,,,150.0,,,,2023,2023-01-19
2023-01-20 11:30:19,,2023_01_20-10_24,2023_01_20-10_24-1,Buy,500,IFA1/BN/NEMO/IFA2,2023-01-20T13:00:00,2023-01-20T14:00:00,2023-01-20T11:00:00,130.0,189.71,185.24,187.78,380.0,2185.0,33.0,5.0,183.0,159.0,,,2023,2023-01-20
2023-01-21 22:10:19,,2023_01_21-21_18,2023_01_21-21_18-1,Buy,300,IFA1/IFA2/EL/NEMO,2023-01-22T09:00:00,2023-01-22T10:00:00,2023-01-21T22:00:00,140.0,173.8,160.66,167.45,300.0,1591.0,127.0,,100.0,73.0,,,2023,2023-01-21
2023-01-22 22:52:23,,2023_01_22-22_11,2023_01_22-22_11-1,Buy,400,BN/NEMO,2023-01-23T07:00:00,2023-01-23T08:00:00,2023-01-22T22:40:00,174.54,258.47,246.02,251.44,400.0,3320.0,,350.0,50.0,,,,2023,2023-01-22
2023-01-23 09:52:39,"Due to French electricity system conditions, NGESO is unable to trade on the interconnectors joining GB and France. For more information, see this link to French margin graph: https://www.services-rte.com/en/view-data-published-by-rte/balancing-capacities.html#:~:text=RTE%20proposes%20on%20this%20web,best%20hypothesis%20at%20our%20disposal",2023_01_23-09_11,2023_01_23-09_11-1,Buy,800,IFA1/NEMO/IFA2/EL,2023-01-23T15:00:00,2023-01-23T16:00:00,2023-01-23T09:40:00,170.0,265.46,214.5,227.23,800.0,5327.0,174.0,,300.0,178.0,148.0,,2023,2023-01-23
2023-01-24 11:21:02,,2023_01_24-10_16,2023_01_24-10_16-1,Buy,1250,IFA1/BN/NEMO/IFA2,2023-01-24T13:00:00,2023-01-24T14:00:00,2023-01-24T11:00:00,170.0,204.08,188.63,196.4,1250.0,1815.0,391.0,69.0,436.0,354.0,,,2023,2023-01-24
2023-01-25 00:27:36,"Due to French electricity system conditions, NGESO is unable to trade on the interconnectors joining GB and France.",2023_01_24-23_15,2023_01_24-23_15-1,Buy,500,IFA1/IFA2/BN/NEMO/EL,2023-01-25T05:00:00,2023-01-25T06:00:00,2023-01-25T00:00:00,110.0,171.83,164.72,167.82,500.0,5259.0,,500.0,,,,,2023,2023-01-25
2023-01-27 11:58:42,,2023_01_27-11_23,2023_01_27-11_23-1,Buy,350,BN/NEMO/IFA2,2023-01-27T15:00:00,2023-01-27T16:00:00,2023-01-27T11:45:00,140.0,161.82,157.42,159.78,350.0,3611.0,,150.0,,200.0,,,2023,2023-01-27
2023-01-28 19:45:57,,2023_01_28-19_08,2023_01_28-19_08-1,Sell,1000,IFA1/BN/NEMO/IFA2/EL,2023-01-28T23:00:00,2023-01-29T00:00:00,2023-01-28T19:35:00,185.0,135.21,139.7,137.79,1000.0,7372.0,530.0,,,133.0,337.0,,2023,2023-01-28
2023-01-29 23:51:47,,2023_01_29-22_35,2023_01_29-22_35-1,Sell,500,BN/NEMO,2023-01-30T04:00:00,2023-01-30T05:00:00,2023-01-29T23:30:00,75.0,55.77,71.21,61.53,500.0,1483.0,,204.0,296.0,,,,2023,2023-01-29
2023-01-30 12:03:04,,2023_01_30-11_24,2023_01_30-11_24-1,Buy,300,NEMO,2023-01-30T16:00:00,2023-01-30T17:00:00,2023-01-30T11:50:00,130.0,0.0,0.0,0.0,0.0,369.0,,,,,,,2023,2023-01-30
